sort,和名洋名,JIS慣用色名よみかた,JIS慣用色名,JIS系統色名,マンセル値,基本色彩語での分類,PCCS,WEBカラー値,R,G,B,C,M,Y,K,色彩検定
08_青紫,洋名,violet,バイオレット,あざやかな青紫,2.5P 4/11,08_紫,v21,655192,101,81,146,65,75,0,0,3級
08_青紫,洋名,wistaris,ウイスタリア,あざやかな青紫,10PB 5/12,08_紫,b20,7C7FB1,124,127,177,50,45,0,0,2級
08_青紫,和名,ききょういろ,桔梗色,こい青紫,9PB 3.5/13,08_紫,v20,505596,80,85,150,75,70,0,0,3級
08_青紫,和名,ふじいろ,藤色,明るい青紫,10PB 6.5/6.5,08_紫,lt20+,A8ADCC,168,173,204,30,25,0,0,2級
09_紫,洋名,lavender,ラベンダー,灰みの青みを帯びた紫,5P 6/3,08_紫,sf22,B0A2BF,176,162,191,23,30,0,5,3級
09_紫,洋名,lilac,ライラック,やわらかい紫,6P 7/6,08_紫,lt22+,BFABC8,191,171,200,20,30,0,0,2級
09_紫,洋名,mauve,モーブ,つよい青みの紫,5P 4.5/9,08_紫,v22(b22),7F5B97,127,91,151,50,70,0,0,3級
09_紫,洋名,purpule,パープル,あざやかな紫,7.5P 5/12,08_紫,v22(b22),89649D,137,100,157,45,65,0,0,3級
09_紫,和名,あやめいろ,菖蒲色,明るい赤みの紫,10P 6/10,08_紫,b22,B974A4,185,116,164,20,60,0,0,3級
09_紫,和名,えどむらさき,江戸紫,こい青みの紫,3P 3.5/7,08_紫,d20,634E86,99,78,134,60,72,0,12,2級
09_紫,和名,こだいむらさき,古代紫,くすんだ紫,7.5P 4/6,08_紫,d22,704C73,112,76,115,35,63,0,32,2級
09_紫,和名,しょうぶいろ,菖蒲色,あざやかな青みの紫,3P 4/11,08_紫,lt16+,5D448A,93,68,138,70,82,0,0,3級
09_紫,和名,なすこん,茄子紺,ごく暗い紫,7.5P 2.5/2.5,08_紫,dkg22,331936,51,25,54,40,73,0,70,3級
10_赤紫,洋名,magenta,マゼンタ,あざやかな赤紫,5RP 5/14,02_赤,v24,D7157E,215,21,126,0,100,0,0,3級
10_赤紫,和名,ぼたん,牡丹,あざやかな赤紫,3RP 5/14,02_赤,v24,D95D97,217,93,151,3,77,0,0,3級
11_無彩色,洋名,chacoal grey,チャコールグレイ,紫みの暗い灰色,5P 3/1,09_白灰黒,Gy-3.0,3C393E,60,57,62,5,15,0,83,3級
11_無彩色,洋名,ivory,アイボリー,黄みのうすい灰色,2.5Y 8.5/1.5,05_黄,ltg8,F3EED5,243,238,213,0,1,12,5,3級
11_無彩色,洋名,lamp black,ランプブラック,黒,N1,09_白灰黒,Bk,161616,22,22,22,0,10,10,100,2級
11_無彩色,洋名,silver grey,シルバーグレイ,明るい灰色,N6.5,09_白灰黒,Gy-6.5,979999,151,153,153,0,0,0,43,3級
11_無彩色,洋名,slate grey,スレートグレイ,暗い灰色,2.5PB 3.5/0.5,09_白灰黒,Gy-3.5,4F5255,79,82,85,5,5,0,75,2級
11_無彩色,和名,きなりいろ,生成り色,赤みを帯びた黄みの白,10YR 9/1,09_白灰黒,offN-3(p6+),F7F6EB,247,246,235,0,0,5,3,3級
11_無彩色,和名,ぎんねず,銀鼠,明るい灰色,N6.5,09_白灰黒,Gy-6.5,969998,150,153,152,0,0,0,43,2級
11_無彩色,和名,すすたけいろ,煤竹色,赤みを帯びた黄みのくらい灰色,9.5YR 3.5/1.5,04_茶,dkg6,58443C,88,68,60,0,30,30,72,2級
11_無彩色,和名,ちゃねずみ,茶鼠,黄赤みの灰色,5YR 6/1,09_白灰黒,g8,90877C,144,135,124,0,10,15,45,2級
11_無彩色,和名,りきゅうねずみ,利休鼠,緑みの灰色,2.5G 5/1,09_白灰黒,g12,646F63,100,111,99,12,0,20,60,2級
